Phenotype Name,Phenotype ID,"% of genes with the term in ""QueryGeneSet""","% of genes with the term in ""Background""",Fisher's Exact Test P-value,BH FDR corrected P-value,Bonferroni corrected P-value
phenotypic class,FBcv:0000347,95.7% (89/93),99.56% (11749/11801),0.000942936,0.002,0.0018858
bouton,FBbt:00005116,11.83% (11/93),2.47% (291/11801),2.26E-05,0.002,0.0024816
synapse,FBbt:00005114,12.9% (12/93),2.91% (343/11801),1.96E-05,0.003,0.0026514
behavior defective,FBcv:0000387,26.88% (25/93),11.74% (1385/11801),6.36E-05,0.004,0.0038154
embryonic/larval tracheal system,FBbt:00000185,9.68% (9/93),2.36% (278/11801),0.000399512,0.004,0.02397
embryonic/larval digestive system,FBbt:00001842,12.9% (12/93),4.01% (473/11801),0.000380494,0.004,0.02283
fused midgut primordium,FBbt:00007593,5.38% (5/93),0.53% (62/11801),0.000172785,0.004,0.0162432
embryonic/larval midgut primordium,FBbt:00005624,5.38% (5/93),0.64% (76/11801),0.000420649,0.004,0.0407982
midgut constriction,FBbt:00000457,4.3% (4/93),0.23% (27/11801),9.38E-05,0.004,0.007032
stage 16 embryo,FBbt:00005334,5.38% (5/93),0.53% (62/11801),0.000172785,0.004,0.0167616
imaginal disc,FBbt:00001761,17.2% (16/93),6.16% (727/11801),0.000188106,0.004,0.0182457
embryonic/larval central nervous system,FBbt:00001919,15.05% (14/93),5.14% (607/11801),0.000312597,0.004,0.0303222
embryonic/larval alimentary canal,FBbt:00100323,8.6% (8/93),1.85% (218/11801),0.000381809,0.004,0.0370346
embryonic/larval dorsal vessel,FBbt:00001673,4.3% (4/93),0.38% (45/11801),0.000567083,0.004,0.0550087
neuron,FBbt:00005106,24.73% (23/93),11.46% (1352/11801),0.000426874,0.004,0.0414093
ganglion,FBbt:00005137,18.28% (17/93),7.28% (859/11801),0.000396686,0.004,0.0384799
ostium,FBbt:00005385,3.23% (3/93),0.07% (8/11801),7.30E-05,0.004,0.00707809
Malpighian tubule,FBbt:00005786,5.38% (5/93),0.67% (79/11801),0.000497611,0.004,0.0482672
denticle,FBbt:00005200,3.23% (3/93),0.08% (9/11801),9.67E-05,0.004,0.0106425
adult dorsal vessel,FBbt:00003152,6.45% (6/93),1.13% (133/11801),0.000757547,0.005,0.0734775
alimentary canal,FBbt:00003125,15.05% (14/93),5.68% (670/11801),0.000819449,0.005,0.0794818
embryonic/larval imaginal precursor,FBbt:00001760,18.28% (17/93),6.87% (811/11801),0.000204474,0.006,0.01227
locomotor behavior defective,FBcv:0000414,8.6% (8/93),2.24% (264/11801),0.001282291,0.006,0.097
larval tagma,FBbt:00001728,20.43% (19/93),9.02% (1064/11801),0.000746167,0.007,0.044772
head,FBbt:00000004,31.18% (29/93),17.5% (2065/11801),0.001415734,0.007,0.06
larval segment,FBbt:00001729,16.13% (15/93),6.58% (777/11801),0.001163487,0.007,0.06
adult sense organ,FBbt:00004113,27.96% (26/93),14.59% (1722/11801),0.00096828,0.007,0.058098
nervous system,FBbt:00005093,31.18% (29/93),17.58% (2075/11801),0.001464888,0.007,0.06
embryonic/larval gut,FBbt:00007512,8.6% (8/93),1.75% (206/11801),0.000264435,0.007,0.029084
adult head,FBbt:00003007,27.96% (26/93),15.57% (1838/11801),0.002327028,0.009,0.194
adult circulatory system,FBbt:00003149,6.45% (6/93),1.39% (164/11801),0.002132931,0.009,0.12
stage 7 embryo,FBbt:00005319,4.3% (4/93),0.53% (62/11801),0.001743571,0.009,0.194
stage 8 embryo,FBbt:00005322,4.3% (4/93),0.53% (62/11801),0.001743571,0.009,0.194
mitotic domain,FBbt:00000059,4.3% (4/93),0.51% (60/11801),0.001555463,0.009,0.194
abdominal segment 1,FBbt:00000022,5.38% (5/93),0.76% (90/11801),0.000873054,0.009,0.1178685
embryonic/larval dorsal branch,FBbt:00000265,2.15% (2/93),0.03% (4/11801),0.000888926,0.009,0.097779
neuromuscular junction,FBbt:00005142,11.83% (11/93),3.58% (423/11801),0.000553706,0.009,0.0747495
histaminergic neuron,FBbt:00007367,11.83% (11/93),3.78% (446/11801),0.000848832,0.009,0.114588
circadian behavior defective,FBcv:0000679,6.45% (6/93),1.48% (175/11801),0.002917819,0.01,0.291
larval thoracic segment,FBbt:00001742,11.83% (11/93),4.53% (535/11801),0.003467056,0.01,0.291
adult peripheral nervous system,FBbt:00005892,17.2% (16/93),7.83% (924/11801),0.002846519,0.01,0.291
eye,FBbt:00004508,17.2% (16/93),7.9% (932/11801),0.003029434,0.01,0.291
peripheral nervous system,FBbt:00005098,24.73% (23/93),13.06% (1541/11801),0.002857152,0.01,0.291
central nervous system,FBbt:00005094,19.35% (18/93),9.19% (1084/11801),0.003173016,0.01,0.291
embryonic/larval hemocyte,FBbt:00001684,6.45% (6/93),1.47% (174/11801),0.002838665,0.01,0.291
sensory system neuron,FBbt:00007693,18.28% (17/93),7.89% (931/11801),0.001400927,0.01,0.135
hemocyte,FBbt:00005063,7.53% (7/93),2.06% (243/11801),0.003401919,0.01,0.291
digestive system,FBbt:00005055,15.05% (14/93),6.4% (755/11801),0.002487297,0.011,0.12
embryonic/larval integumentary system,FBbt:00005393,10.75% (10/93),4.0% (472/11801),0.004323112,0.012,0.24
larval thorax,FBbt:00001741,11.83% (11/93),4.54% (536/11801),0.003515622,0.012,0.388
embryonic/larval circulatory system,FBbt:00001664,9.68% (9/93),3.36% (397/11801),0.00440779,0.012,0.24
larval abdominal segment 1,FBbt:00001748,4.3% (4/93),0.47% (55/11801),0.001147782,0.012,0.094
epidermis,FBbt:00004993,25.81% (24/93),14.5% (1711/11801),0.004475235,0.012,0.388
denticle belt,FBbt:00005201,5.38% (5/93),0.75% (88/11801),0.000792757,0.012,0.0745232
sensory neuron,FBbt:00005124,18.28% (17/93),7.7% (909/11801),0.000748076,0.012,0.082291
embryonic/larval nervous system,FBbt:00001911,19.35% (18/93),9.86% (1163/11801),0.004821556,0.013,0.3
larval abdomen,FBbt:00001746,8.6% (8/93),2.82% (333/11801),0.005162405,0.013,0.485
adult central nervous system,FBbt:00003623,11.83% (11/93),4.82% (569/11801),0.005452451,0.013,0.485
ovariole,FBbt:00004893,15.05% (14/93),6.7% (791/11801),0.00520571,0.013,0.485
abdomen,FBbt:00000020,13.98% (13/93),5.86% (692/11801),0.003206213,0.014,0.18
tracheal system,FBbt:00005024,9.68% (9/93),3.09% (365/11801),0.0025613,0.014,0.18
presumptive embryonic/larval digestive system,FBbt:00000438,6.45% (6/93),1.36% (161/11801),0.001949741,0.014,0.27
larval mesothoracic segment,FBbt:00001744,11.83% (11/93),4.24% (500/11801),0.002078662,0.014,0.22
adult brain,FBbt:00003624,11.83% (11/93),4.08% (482/11801),0.00156605,0.014,0.22
dorsal thoracic disc,FBbt:00001776,11.83% (11/93),4.1% (484/11801),0.001617269,0.014,0.22
ventral nervous system,FBbt:00005097,9.68% (9/93),2.91% (343/11801),0.001697127,0.014,0.27
phenotype,FBcv:0001347,79.57% (74/93),64.38% (7598/11801),0.002145689,0.015,0.022
embryo,FBbt:00000052,24.73% (23/93),13.61% (1606/11801),0.003688141,0.015,0.044
larva,FBbt:00001727,36.56% (34/93),23.21% (2739/11801),0.004261124,0.015,0.044
late embryo,FBbt:00005333,21.51% (20/93),11.07% (1306/11801),0.004080351,0.015,0.24
trachea,FBbt:00005043,6.45% (6/93),1.73% (204/11801),0.006015755,0.015,0.582
circadian rhythm defective,FBcv:0000394,6.45% (6/93),1.64% (194/11801),0.004758525,0.016,0.3
developing embryonic structure,FBbt:00004208,12.9% (12/93),5.43% (641/11801),0.004766674,0.016,0.3
embryonic/larval midgut cell,FBbt:00001886,3.23% (3/93),0.19% (23/11801),0.001056202,0.016,0.075
eye photoreceptor cell,FBbt:00006009,8.6% (8/93),2.15% (254/11801),0.001008466,0.016,0.039
photoreceptor cell,FBbt:00004211,11.83% (11/93),4.04% (477/11801),0.001443813,0.016,0.094
tagma,FBbt:00000002,47.31% (44/93),33.43% (3945/11801),0.005744021,0.017,0.066
presumptive embryonic/larval system,FBbt:00007116,10.75% (10/93),4.26% (503/11801),0.00665282,0.017,0.679
presumptive embryonic/larval muscle system,FBbt:00005647,4.3% (4/93),0.61% (72/11801),0.00292513,0.017,0.405
ommatidium,FBbt:00004510,11.83% (11/93),4.15% (490/11801),0.001779252,0.017,0.188
ovary,FBbt:00004865,15.05% (14/93),6.98% (824/11801),0.006462245,0.018,0.36
cell death defective,FBcv:0000424,11.83% (11/93),4.98% (588/11801),0.006903528,0.019,0.42
extended germ band embryo,FBbt:00005321,9.68% (9/93),3.65% (431/11801),0.007373425,0.019,0.42
rhabdomeric photoreceptor cell,FBbt:00007251,11.83% (11/93),3.85% (454/11801),0.000978114,0.019,0.0733575
pupa,FBbt:00002953,7.53% (7/93),2.47% (292/11801),0.008881971,0.02,0.099
eye-antennal disc,FBbt:00001766,9.68% (9/93),3.3% (390/11801),0.00393463,0.021,0.54
interneuron,FBbt:00005125,8.6% (8/93),2.67% (315/11801),0.003731476,0.021,0.54
ventral wing blade,FBbt:00007166,3.23% (3/93),0.29% (34/11801),0.002966503,0.022,0.117
follicle cell,FBbt:00004904,7.53% (7/93),1.96% (231/11801),0.002588523,0.022,0.225
